id,status,vertical,category,url,visual_filters_found,heading_or_note
16,live,Music & Audio,Voice Over,https://www.fiverr.com/categories/music-audio/voice-overs,YES,Select voice over language
49,live,Graphics & Design,Logo Design,https://www.fiverr.com/categories/graphics-design/creative-logo-design,YES,Select logo style
50,live,Graphics & Design,Illustration,https://www.fiverr.com/categories/graphics-design/digital-illustration,YES,Select illustration style
51,candidate,Graphics & Design,Book Design,https://www.fiverr.com/categories/graphics-design/book-design,NO,candidate; page shows subcategory tiles instead
54,live,Graphics & Design,Presentation Design,https://www.fiverr.com/categories/graphics-design/presentations-design,YES,Select presentation purpose
99,live,Video & Animation,Video Editing,https://www.fiverr.com/categories/video-animation/video-editing,YES,Select video type
154,live,Graphics & Design,T-Shirts & Merchandise,https://www.fiverr.com/categories/graphics-design/t-shirts,YES,Select merchandise type
156,live,Music & Audio,Session Musicians,https://www.fiverr.com/categories/music-audio/session-musicians,NO,"Tile row present but it is the real NSC subcategory browser (Guitar/Drums & Percussion/Bass/Piano & Keys/Strings/Brass & Woodwind are actual NSCs under SC 156, confirmed via BigQuery nested_sub_categories), not the metadata visual-filters strip. Reverted from an earlier incorrect correction."
158,live,Music & Audio,Singers & Vocalists,https://www.fiverr.com/categories/music-audio/singers-vocalists,NO,"Tile row present but it is the real NSC subcategory browser (Male/Female/Gender Neutral/Choir & Gospel Singers are actual NSCs under SC 158, confirmed via BigQuery nested_sub_categories), not the metadata visual-filters strip. Reverted from an earlier incorrect correction."
163,live,Writing & Translation,Articles & Blog Posts,https://www.fiverr.com/categories/writing-translation/articles-blogposts,NO,live/active per constants.js but page now shows subcategory tiles (SEO Writing / Informative & Educational Articles) instead of the language filter strip
235,candidate,Video & Animation,Character Animation,https://www.fiverr.com/categories/video-animation/animated-characters-modeling,NO,candidate
249,live,Video & Animation,Slideshow Videos,https://www.fiverr.com/categories/video-animation/slideshow-videos,YES,Select slideshow type
329,live,Video & Animation,Video Ads & Commercials,https://www.fiverr.com/categories/video-animation/short-video-ads,YES,Select platform
340,live,Graphics & Design,Portraits & Caricatures,https://www.fiverr.com/categories/graphics-design/portraits-and-caricatures,YES,Select illustration style
371,live,Graphics & Design,Graphics for Streamers,https://www.fiverr.com/categories/graphics-design/graphics-for-streamers,YES,Select asset type
384,live,Video & Animation,Subtitles & Captions,https://www.fiverr.com/categories/video-animation/subtitles-captions,NO,live/active per constants.js but page shows subcategory tiles instead
386,live,Graphics & Design,Podcast Cover Art,https://www.fiverr.com/categories/graphics-design/podcast-cover-art,YES,Select cover art style
392,live,Music & Audio,Songwriting,https://www.fiverr.com/categories/music-audio/songwriters,NO,live/active per constants.js but no visual-filters strip found
416,live,Programming & Tech,Online Coding Lessons,https://www.fiverr.com/categories/programming-tech/online-coding-lessons,NO,live/active per constants.js but no visual-filters strip found
512,live,Personal Growth & Hobbies,Game Coaching,https://www.fiverr.com/categories/lifestyle/game-coaching,NO,live/active per constants.js but no visual-filters strip found
1000,live,Programming & Tech,Website Builders & CMS > Full Website Creation,https://www.fiverr.com/categories/programming-tech/web-cms-services/full-website-creation,NO,"NSC hidden at DB level; URL redirects to unrelated generic ""Website Development"" SC page, cannot verify this specific NSC"
1001,live,Programming & Tech,Website Builders & CMS > Theme/Plugin Installation,https://www.fiverr.com/categories/programming-tech/web-cms-services/theme-plugin-installation,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1002,live,Programming & Tech,Website Builders & CMS > Customization,https://www.fiverr.com/categories/programming-tech/web-cms-services/customization,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1003,live,Programming & Tech,Website Builders & CMS > Bug Fixes,https://www.fiverr.com/categories/programming-tech/web-cms-services/bug-fixes,YES,"NSC hidden at DB level; URL redirects to the same page as id 2619 (website-maintenance/bug-fixes), not a distinct page for this NSC"
1004,live,Programming & Tech,Website Builders & CMS > Backup & Migration,https://www.fiverr.com/categories/programming-tech/web-cms-services/backup-cloning-migration,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1005,live,Programming & Tech,Website Builders & CMS > Performance & Security,https://www.fiverr.com/categories/programming-tech/web-cms-services/performance-security,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1006,live,Programming & Tech,Website Builders & CMS > Help/Consultation,https://www.fiverr.com/categories/programming-tech/web-cms-services/help-consultation,NO,"NSC hidden at DB level; URL redirects to website-maintenance/consultation, not a distinct page for this NSC"
1007,live,Programming & Tech,E-Commerce Development > Full Website Creation,https://www.fiverr.com/categories/programming-tech/ecommerce-services/full-website-creation,NO,"NSC hidden at DB level; URL redirects to unrelated generic ""E-commerce Website Development"" SC page"
1008,live,Programming & Tech,E-Commerce Development > Theme/Plugin Installation,https://www.fiverr.com/categories/programming-tech/ecommerce-services/theme-plugin-installation,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1009,live,Programming & Tech,E-Commerce Development > Customization,https://www.fiverr.com/categories/programming-tech/ecommerce-services/customization,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1010,live,Programming & Tech,E-Commerce Development > Bug Fixes,https://www.fiverr.com/categories/programming-tech/ecommerce-services/bug-fixes,YES,"NSC hidden at DB level; URL redirects to a distinct sub-path (website-maintenance/bug-fixes/e-commerce) which does show ""Select platform"" — but the underlying NSC itself is DB-hidden, so treated as inactive"
1011,live,Programming & Tech,E-Commerce Development > Backup & Migration,https://www.fiverr.com/categories/programming-tech/ecommerce-services/backup-cloning-migration,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1012,live,Programming & Tech,E-Commerce Development > Performance & Security,https://www.fiverr.com/categories/programming-tech/ecommerce-services/performance-security,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
